Source,Relation,Target
Ashwagandha,TREATS,cancer
Ashwagandha,TREATS,obsessive-compulsive disorder
Ashwagandha,TREATS,infertility
Ashwagandha,TREATS,sleep disorders
Ashwagandha,TREATS,anxiety
Ashwagandha,TREATS,hypothyroidism
Ashwagandha,TREATS,Alzheimer's disease
Ashwagandha,TREATS,dementia
Ashwagandha,TREATS,HIV infection
Ashwagandha,TREATS,Parkinson's disease
Ashwagandha,TREATS,cerebral oedema
Ashwagandha,TREATS,Canine Cognitive Dysfunction
Ashwagandha,TREATS,Huntington's disease
Ashwagandha,TREATS,Alcohol Withdrawal Syndrome
Ashwagandha,TREATS,autoimmune diseases
Ashwagandha,TREATS,lupus
Ashwagandha,TREATS,nephritis
Ashwagandha,TREATS,rheumatoid diseases
Ashwagandha,TREATS,skin inflammation
Ashwagandha,TREATS,arthritis
Ashwagandha,RELIEVES,sleep
Ashwagandha,RELIEVES,adaptogenic effect
Ashwagandha,RELIEVES,stress
Ashwagandha,RELIEVES,cognitive function
Ashwagandha,RELIEVES,physical performance
Ashwagandha,RELIEVES,memory
Ashwagandha,RELIEVES,thinking abilities
Ashwagandha,RELIEVES,orientation
Ashwagandha,RELIEVES,comprehension
Ashwagandha,RELIEVES,learning abilities
Ashwagandha,RELIEVES,emotional control
Ashwagandha,RELIEVES,inflammatory response
Ashwagandha,RELIEVES,apoptosis
Ashwagandha,RELIEVES,necrosis
Ashwagandha,RELIEVES,memory loss
Ashwagandha,RELIEVES,neuronal apoptosis
Ashwagandha,RELIEVES,inflammatory processes
Ashwagandha,RELIEVES,intrusive thoughts
Ashwagandha,RELIEVES,cognitive disturbance
Ashwagandha,RELIEVES,chronic alcohol consumption
Indian ginseng,TREATS,cancer
Indian ginseng,TREATS,obsessive-compulsive disorder
Indian ginseng,TREATS,infertility
Indian ginseng,TREATS,sleep disorders
Indian ginseng,TREATS,anxiety
Indian ginseng,TREATS,hypothyroidism
Indian ginseng,TREATS,Alzheimer's disease
Indian ginseng,TREATS,dementia
Indian ginseng,TREATS,HIV infection
Indian ginseng,TREATS,Parkinson's disease
Indian ginseng,TREATS,cerebral oedema
Indian ginseng,TREATS,Canine Cognitive Dysfunction
Indian ginseng,TREATS,Huntington's disease
Indian ginseng,TREATS,Alcohol Withdrawal Syndrome
Indian ginseng,TREATS,autoimmune diseases
Indian ginseng,TREATS,lupus
Indian ginseng,TREATS,nephritis
Indian ginseng,TREATS,rheumatoid diseases
Indian ginseng,TREATS,skin inflammation
Indian ginseng,TREATS,arthritis
Indian ginseng,RELIEVES,sleep
Indian ginseng,RELIEVES,adaptogenic effect
Indian ginseng,RELIEVES,stress
Indian ginseng,RELIEVES,cognitive function
Indian ginseng,RELIEVES,physical performance
Indian ginseng,RELIEVES,memory
Indian ginseng,RELIEVES,thinking abilities
Indian ginseng,RELIEVES,orientation
Indian ginseng,RELIEVES,comprehension
